2026-05-01 02:17:05,949 [MCA-SWEEP] INFO -   CT offset 162000: 2000 records, 0 new MCA leads
2026-05-01 02:17:07,883 [MCA-SWEEP] INFO -   CT offset 164000: 2000 records, 0 new MCA leads
2026-05-01 02:17:09,769 [MCA-SWEEP] INFO -   CT offset 166000: 2000 records, 0 new MCA leads
2026-05-01 02:17:11,478 [MCA-SWEEP] INFO -   CT offset 168000: 2000 records, 0 new MCA leads
2026-05-01 02:17:13,284 [MCA-SWEEP] INFO -   CT offset 170000: 2000 records, 0 new MCA leads
2026-05-01 02:17:15,393 [MCA-SWEEP] INFO -   CT offset 172000: 2000 records, 0 new MCA leads
2026-05-01 02:17:17,235 [MCA-SWEEP] INFO -   CT offset 174000: 2000 records, 0 new MCA leads
2026-05-01 02:17:19,339 [MCA-SWEEP] INFO -   CT offset 176000: 2000 records, 0 new MCA leads
2026-05-01 02:17:21,294 [MCA-SWEEP] INFO -   CT offset 178000: 2000 records, 0 new MCA leads
2026-05-01 02:17:23,945 [MCA-SWEEP] INFO -   CT offset 180000: 2000 records, 0 new MCA leads
2026-05-01 02:17:25,830 [MCA-SWEEP] INFO -   CT offset 182000: 2000 records, 0 new MCA leads
2026-05-01 02:17:27,620 [MCA-SWEEP] INFO -   CT offset 184000: 2000 records, 0 new MCA leads
2026-05-01 02:17:29,574 [MCA-SWEEP] INFO -   CT offset 186000: 2000 records, 0 new MCA leads
2026-05-01 02:17:31,582 [MCA-SWEEP] INFO -   CT offset 188000: 2000 records, 0 new MCA leads
2026-05-01 02:17:33,474 [MCA-SWEEP] INFO -   CT offset 190000: 2000 records, 0 new MCA leads
2026-05-01 02:17:35,517 [MCA-SWEEP] INFO -   CT offset 192000: 2000 records, 0 new MCA leads
2026-05-01 02:17:37,680 [MCA-SWEEP] INFO -   CT offset 194000: 2000 records, 0 new MCA leads
2026-05-01 02:17:39,864 [MCA-SWEEP] INFO -   CT offset 196000: 2000 records, 0 new MCA leads
2026-05-01 02:17:41,476 [MCA-SWEEP] INFO -   CT offset 198000: 2000 records, 0 new MCA leads
2026-05-01 02:17:43,541 [MCA-SWEEP] INFO -   CT offset 200000: 2000 records, 0 new MCA leads
2026-05-01 02:17:45,499 [MCA-SWEEP] INFO -   CT offset 202000: 2000 records, 0 new MCA leads
2026-05-01 02:17:47,506 [MCA-SWEEP] INFO -   CT offset 204000: 2000 records, 0 new MCA leads
2026-05-01 02:17:49,711 [MCA-SWEEP] INFO -   CT offset 206000: 2000 records, 0 new MCA leads
2026-05-01 02:17:51,989 [MCA-SWEEP] INFO -   CT offset 208000: 2000 records, 0 new MCA leads
2026-05-01 02:17:53,986 [MCA-SWEEP] INFO -   CT offset 210000: 2000 records, 0 new MCA leads
2026-05-01 02:17:56,270 [MCA-SWEEP] INFO -   CT offset 212000: 2000 records, 0 new MCA leads
2026-05-01 02:17:58,221 [MCA-SWEEP] INFO -   CT offset 214000: 2000 records, 0 new MCA leads
2026-05-01 02:18:00,421 [MCA-SWEEP] INFO -   CT offset 216000: 2000 records, 0 new MCA leads
2026-05-01 02:18:02,233 [MCA-SWEEP] INFO -   CT offset 218000: 2000 records, 0 new MCA leads
2026-05-01 02:18:04,453 [MCA-SWEEP] INFO -   CT offset 220000: 2000 records, 0 new MCA leads
2026-05-01 02:18:06,359 [MCA-SWEEP] INFO -   CT offset 222000: 2000 records, 0 new MCA leads
2026-05-01 02:18:08,231 [MCA-SWEEP] INFO -   CT offset 224000: 2000 records, 0 new MCA leads
2026-05-01 02:18:10,162 [MCA-SWEEP] INFO -   CT offset 226000: 2000 records, 0 new MCA leads
2026-05-01 02:18:13,215 [MCA-SWEEP] INFO -   CT offset 228000: 2000 records, 0 new MCA leads
2026-05-01 02:18:15,582 [MCA-SWEEP] INFO -   CT offset 230000: 2000 records, 0 new MCA leads
2026-05-01 02:18:18,572 [MCA-SWEEP] INFO -   CT offset 232000: 2000 records, 0 new MCA leads
2026-05-01 02:18:21,356 [MCA-SWEEP] INFO -   CT offset 234000: 2000 records, 0 new MCA leads
